amount_at_risk,customer_ltv,failure_type,retry_count,days_overdue,previous_successful_payments,previous_recovery_attempts,payment_method,customer_tenure_days,recovered
3965,65308,AUTHENTICATION_FAILURE,0,2,5,1,NETBANKING,320,1
5846,220152,BROKEN_COMMITMENT,1,18,18,2,CARD,850,0
137395,1026152,CHECKOUT_ABANDONMENT,0,2,1,0,CARD,177,0
8359,94948,CHECKOUT_ABANDONMENT,1,1,9,0,UPI,513,1
27576,271425,CHECKOUT_ABANDONMENT,2,1,27,0,CARD,1059,1
12872,109812,CARD_DECLINED,1,0,17,0,NETBANKING,943,1
9768,183910,AUTHENTICATION_FAILURE,0,0,9,0,NETBANKING,270,1
54224,733423,CARD_DECLINED,0,2,30,0,UPI,933,1
14264,119773,CARD_DECLINED,1,1,11,0,CARD,346,1
11258,126140,INVOICE_OVERDUE,0,16,1,0,CARD,71,1
3341,227862,BROKEN_COMMITMENT,1,4,24,0,UPI,1038,1
4627,144492,AUTHENTICATION_FAILURE,0,0,15,0,CARD,422,1
687370,2500000,CHECKOUT_ABANDONMENT,1,0,1,0,NACH,197,0
4867,65979,INSUFFICIENT_FUNDS,0,12,3,1,CARD,285,1
59927,246601,CHECKOUT_ABANDONMENT,4,0,3,0,CARD,200,1
89998,385705,INVOICE_OVERDUE,1,1,19,1,CARD,765,1
293917,1708115,INSUFFICIENT_FUNDS,0,1,6,0,CARD,380,1
5817,59025,GATEWAY_ERROR,1,1,4,1,UPI,129,1
770479,2166380,RECURRING_PAYMENT_FAILURE,0,2,32,0,UPI,1012,1
6304,222904,RECURRING_PAYMENT_FAILURE,2,0,21,3,CARD,611,1
9754,138461,INSUFFICIENT_FUNDS,0,3,9,0,UPI,394,1
31600,462494,BROKEN_COMMITMENT,0,2,26,2,UPI,632,0
1707,267686,INSUFFICIENT_FUNDS,0,4,21,0,UPI,801,1
68658,418700,RECURRING_PAYMENT_FAILURE,0,3,8,0,UPI,307,1
58047,411088,AUTHENTICATION_FAILURE,0,0,12,1,CARD,566,1
14710,166439,INSUFFICIENT_FUNDS,3,2,17,1,CARD,661,1
34219,347942,CARD_DECLINED,2,2,16,2,CARD,524,1
4076,158717,RECURRING_PAYMENT_FAILURE,0,2,13,1,CARD,513,0
7723,177488,CHECKOUT_ABANDONMENT,2,0,7,2,NETBANKING,372,1
13773,426684,INSUFFICIENT_FUNDS,0,0,26,0,CARD,841,1
761226,2500000,INSUFFICIENT_FUNDS,1,0,12,1,CARD,573,1
463159,2500000,GATEWAY_ERROR,3,1,2,0,CARD,84,0
10448,393787,AUTHENTICATION_FAILURE,3,0,32,1,UPI,1044,1
487848,2500000,CHECKOUT_ABANDONMENT,0,0,4,1,UPI,142,1
6456,99194,CARD_DECLINED,2,0,3,0,CARD,251,0
612381,2500000,RECURRING_PAYMENT_FAILURE,2,0,2,0,UPI,71,1
29952,364077,RECURRING_PAYMENT_FAILURE,1,5,2,0,CARD,87,0
63557,717624,CARD_DECLINED,1,0,6,1,UPI,219,0
1267,126407,CARD_DECLINED,0,2,20,0,CARD,834,1
1638,292553,BROKEN_COMMITMENT,1,6,30,1,CARD,971,0
18931,231903,CARD_DECLINED,2,5,5,0,CARD,222,1
2371,121153,INVOICE_OVERDUE,0,4,10,0,UPI,597,1
73037,451302,INSUFFICIENT_FUNDS,2,0,4,1,NETBANKING,137,1
540527,2500000,RECURRING_PAYMENT_FAILURE,0,6,5,2,UPI,107,0
3970,92334,AUTHENTICATION_FAILURE,0,0,11,2,CARD,468,1
2389,76970,AUTHENTICATION_FAILURE,1,1,8,0,CARD,390,1
13033,134014,CARD_DECLINED,0,2,14,1,CARD,350,1
173910,1645346,INVOICE_OVERDUE,0,2,6,0,CARD,266,1
14442,205514,BROKEN_COMMITMENT,1,3,34,0,CARD,890,0
94565,513914,INSUFFICIENT_FUNDS,0,2,13,0,CARD,751,1
94936,456496,AUTHENTICATION_FAILURE,3,1,9,1,CARD,326,1
7487,206998,INVOICE_OVERDUE,2,20,15,0,NACH,560,1
7277,136067,AUTHENTICATION_FAILURE,0,0,9,0,UPI,324,1
14021,332709,INSUFFICIENT_FUNDS,0,10,30,0,NACH,947,1
14007,137476,INVOICE_OVERDUE,1,6,3,0,CARD,111,1
20738,329971,RECURRING_PAYMENT_FAILURE,1,1,6,0,CARD,261,1
3104,181018,AUTHENTICATION_FAILURE,2,0,16,0,UPI,642,1
5164,254463,AUTHENTICATION_FAILURE,1,0,13,2,CARD,520,1
86698,277574,INSUFFICIENT_FUNDS,0,0,26,0,CARD,890,1
48285,308891,CARD_DECLINED,3,1,30,2,CARD,1075,1
8705,146978,CHECKOUT_ABANDONMENT,0,0,11,0,UPI,682,1
54835,673836,CHECKOUT_ABANDONMENT,2,0,7,1,CARD,351,1
69184,981578,CARD_DECLINED,0,3,15,0,NACH,777,1
19854,237543,RECURRING_PAYMENT_FAILURE,0,4,9,2,NETBANKING,463,1
39256,303341,AUTHENTICATION_FAILURE,0,0,14,2,NACH,480,1
12553,218920,INSUFFICIENT_FUNDS,0,0,19,0,CARD,846,1
84251,244081,RECURRING_PAYMENT_FAILURE,3,5,6,1,UPI,276,0
12623,150330,CHECKOUT_ABANDONMENT,1,0,5,0,UPI,302,0
89389,643951,RECURRING_PAYMENT_FAILURE,3,6,22,1,CARD,539,0
7714,58918,INSUFFICIENT_FUNDS,1,0,6,0,UPI,183,1
16468,246379,AUTHENTICATION_FAILURE,1,1,13,0,CARD,724,1
14405,111129,AUTHENTICATION_FAILURE,0,1,17,0,CARD,680,1
20266,433685,AUTHENTICATION_FAILURE,0,1,20,0,UPI,766,1
68704,512584,INVOICE_OVERDUE,0,14,7,0,UPI,190,1
23316,406070,RECURRING_PAYMENT_FAILURE,0,1,29,0,UPI,1059,1
12966,124099,INSUFFICIENT_FUNDS,2,1,8,3,NETBANKING,512,0
7770,131640,RECURRING_PAYMENT_FAILURE,1,7,9,1,CARD,268,1
14042,99488,CARD_DECLINED,0,1,9,0,UPI,214,1
829040,2500000,INSUFFICIENT_FUNDS,0,1,26,0,CARD,947,1
12381,269608,CARD_DECLINED,2,3,21,2,CARD,997,0
13607,123824,AUTHENTICATION_FAILURE,0,0,2,1,UPI,362,1
14476,167875,INVOICE_OVERDUE,2,2,20,0,CARD,711,1
